Collection Time,Status,CPU (%),Memory (%),Disk Used (%),Reason
May 6 2022 6:59:44 PM PDT,Up,27.88,82.02,72.12,-
May 6 2022 6:58:44 PM PDT,Up,30.25,79.46,72.12,-
May 6 2022 6:57:43 PM PDT,Up,26.25,77.41,72.12,-
May 6 2022 6:56:44 PM PDT,Up,28,75.76,72.12,-
May 6 2022 6:55:44 PM PDT,Up,28.13,73.52,72.11,-
May 6 2022 6:54:44 PM PDT,Up,31.38,83.17,72.11,-
May 6 2022 6:53:45 PM PDT,Up,35.75,81.34,72.11,-
May 6 2022 6:52:45 PM PDT,Up,27.38,78.26,72.11,-
May 6 2022 6:51:45 PM PDT,Up,31.88,76.58,72.11,-
May 6 2022 6:50:45 PM PDT,Up,30.63,83.28,72.1,-
May 6 2022 6:49:44 PM PDT,Up,34.13,80.88,72.1,-
May 6 2022 6:48:44 PM PDT,Up,32.5,76.21,72.1,-
May 6 2022 6:47:44 PM PDT,Up,32.25,84.07,72.1,-
May 6 2022 6:46:44 PM PDT,Up,32.63,82.88,72.09,-
May 6 2022 6:45:44 PM PDT,Up,31.63,79.64,72.09,-
May 6 2022 6:44:45 PM PDT,Up,27.38,76.97,72.1,-
May 6 2022 6:43:44 PM PDT,Up,30.88,75.32,72.09,-
May 6 2022 6:42:45 PM PDT,Up,31.38,83.82,72.09,-
May 6 2022 6:41:44 PM PDT,Up,32.88,81.7,72.09,-
May 6 2022 6:40:44 PM PDT,Up,31.38,78.86,72.09,-
May 6 2022 6:39:44 PM PDT,Up,32.25,76.69,72.2,-
May 6 2022 6:38:45 PM PDT,Up,33.25,83.45,72.08,-
May 6 2022 6:37:45 PM PDT,Up,34.25,80.05,72.08,-
May 6 2022 6:36:47 PM PDT,Up,29.63,76.28,72.08,-
May 6 2022 6:35:44 PM PDT,Up,35.13,72.73,72.07,-
May 6 2022 6:34:44 PM PDT,Up,29.5,80.63,72.07,-
May 6 2022 6:33:44 PM PDT,Up,32.38,78.03,72.07,-
May 6 2022 6:32:45 PM PDT,Up,35.38,75.58,72.07,-
May 6 2022 6:31:45 PM PDT,Up,39.38,72.94,72.06,-
May 6 2022 6:30:45 PM PDT,Up,29.38,81.32,72.06,-
May 6 2022 6:29:44 PM PDT,Up,31,78.8,72.06,-
May 6 2022 6:28:44 PM PDT,Up,25.5,75.15,72.07,-
May 6 2022 6:27:44 PM PDT,Up,35,73.29,72.06,-
May 6 2022 6:26:44 PM PDT,Up,30.63,83.09,72.06,-
May 6 2022 6:25:46 PM PDT,Up,32.5,79.9,72.06,-
May 6 2022 6:24:45 PM PDT,Up,32.13,77.52,72.06,-
May 6 2022 6:23:44 PM PDT,Up,27.75,76.06,72.05,-
May 6 2022 6:22:44 PM PDT,Up,31.13,74.44,72.05,-
May 6 2022 6:21:44 PM PDT,Up,34.38,82.28,72.05,-
May 6 2022 6:20:47 PM PDT,Up,29.88,79.21,72.05,-
May 6 2022 6:19:44 PM PDT,Up,29.38,76.07,72.04,-
May 6 2022 6:18:43 PM PDT,Up,34.63,71.31,72.04,-
May 6 2022 6:17:44 PM PDT,Up,27.63,80.99,72.04,-
May 6 2022 6:16:44 PM PDT,Up,33.88,77.04,72.04,-
